time,latitude,longitude,depth,mag,place
2014-12-10T21:03:39.260Z,25.5403,122.4503,256,6.1,Taiwan
2014-12-08T08:54:52.520Z,7.9401,-82.6865,20,6.6,Panama
2014-12-07T21:16:35.740Z,13.6717,-91.4731,32,6.1,Guatemala
2014-12-07T01:22:02.180Z,-6.5108,154.4603,23,6.6,Papua New Guinea
2014-12-06T22:05:10.730Z,-6.11,130.4829,116,6,Indonesia
2014-12-06T17:21:49.020Z,7.9824,-82.7339,15,6,Panama
2014-12-02T05:11:31.000Z,6.1572,123.1261,614,6.6,Philippines
2014-11-26T14:33:43.640Z,1.9604,126.5751,39,6.8,Indonesia
2014-11-22T13:08:18.420Z,36.6408,137.8875,9,6.2,Japan
2014-11-21T10:10:19.630Z,2.2999,127.0562,35,6.5,Indonesia
2014-11-17T16:52:46.850Z,-46.3484,33.8037,10,6.1,Prince Edward Islands region
2014-11-16T22:33:20.450Z,-37.6478,179.6621,22,6.7,New Zealand
2014-11-15T02:31:41.720Z,1.8929,126.5217,45,7.1,Indonesia
2014-11-13T10:24:18.270Z,-15.2155,173.0845,10,6,Fiji region
2014-11-07T03:33:55.280Z,-5.9873,148.2315,53.19,6.6,Papua New Guinea
2014-11-03T08:48:29.740Z,-41.7317,79.9602,10,6.3,Mid-Indian Ridge
2014-11-02T17:17:04.410Z,-61.2203,154.2778,10,6,Balleny Islands region
2014-11-01T18:57:22.380Z,-19.6903,-177.7587,434,7.1,Fiji
2014-11-01T10:59:54.610Z,-31.852,-111.2436,10,6,Easter Island region
2014-10-28T03:15:37.950Z,-15.2954,-174.6752,8,6,Tonga
2014-10-14T03:51:34.460Z,12.5262,-88.1225,40,7.3,El Salvador
2014-10-11T02:35:47.480Z,41.0272,143.1649,22,6.1,Japan
2014-10-09T02:32:05.140Z,-32.0953,-110.8647,10,6.6,Southern East Pacific Rise
2014-10-09T02:14:31.440Z,-32.1082,-110.8112,16.54,7,Southern East Pacific Rise
2014-10-08T02:40:53.110Z,23.8441,-108.3311,10,6.1,Mexico
2014-10-07T13:49:39.720Z,23.3834,100.4702,8.51,6.1,China
2014-10-01T03:38:51.760Z,-6.0706,149.5329,42,6,Papua New Guinea
2014-09-25T17:51:17.000Z,61.9449,-151.8159,108.9,6.2,Alaska
2014-09-25T09:13:50.000Z,-9.4618,156.4122,4,6.1,Solomon Islands
2014-09-24T11:16:15.010Z,-23.8009,-66.6321,224,6.2,Argentina
2014-09-17T06:14:45.410Z,13.7641,144.4294,130,6.7,Guam
2014-09-10T02:46:06.430Z,-0.2422,125.104,35,6.2,Indonesia
2014-09-06T19:22:59.040Z,18.7529,-107.0488,17,6.2,Mexico
2014-09-06T06:53:11.760Z,-26.6478,-114.5,7,6.1,Easter Island region
2014-09-04T05:33:50.350Z,-21.3869,-173.3232,35,6,Tonga
2014-08-24T23:21:45.520Z,-14.598,-73.5714,101,6.8,Peru
2014-08-24T10:20:44.070Z,38.2151667,-122.3123333,11.12,6.02,South Napa Earthquake
2014-08-23T22:32:23.320Z,-32.6953,-71.4416,32,6.4,Chile
2014-08-18T18:08:22.750Z,32.5827,47.7037,5,6,Iran
2014-08-18T02:32:05.350Z,32.703,47.695,10.2,6.2,Iran
2014-08-10T03:43:17.240Z,41.1585,142.1309,41,6.1,Japan
2014-08-06T11:45:22.680Z,-7.2741,128.0364,10,6.2,Indonesia
2014-08-03T08:30:13.570Z,27.1891,103.4086,12,6.2,China
2014-08-03T00:22:03.680Z,0.8295,146.1688,13,6.9,Federated States of Micronesia region
2014-07-29T13:27:40.080Z,-3.422,146.769,9.77,6,Papua New Guinea
